observer,id,observed_on,user_id,url,image_url,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,status,Habitat_forest_open,part_or_whole,leaves,flowers_or_buds,open_flowers,fruit,ripe_fruit
b,5932566,4/23/17,273475,https://www.inaturalist.org/observations/5932566,https://static.inaturalist.org/photos/7404803/medium.jpg?1493005022,40.30185333,-79.21807833,Westmoreland,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,y,n,n,n,n
b,6144256,5/7/17,297053,https://www.inaturalist.org/observations/6144256,https://static.inaturalist.org/photos/7699136/medium.jpeg?1494281162,40.51806797,-80.12860759,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,y,n,n,n,n
b,6652810,6/10/17,5813,https://www.inaturalist.org/observations/6652810,https://static.inaturalist.org/photos/8433078/medium.jpeg?1497462585,40.608929,-80.141463,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,y,y,y,n,n
b,6759011,6/22/17,154438,https://www.inaturalist.org/observations/6652811,https://static.inaturalist.org/photos/8588357/medium.jpeg?1498171796,40.95423766,-79.63339039,Armstrong,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,6780057,6/24/17,443220,https://www.inaturalist.org/observations/6780057,https://static.inaturalist.org/photos/8620179/medium.jpg?1498332676,40.84553,-79.43651667,Armstrong,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,6839038,6/28/17,483733,https://www.inaturalist.org/observations/6839038,https://static.inaturalist.org/photos/8710734/medium.jpeg?1498685975,40.31415349,-80.00222879,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,y,y,y,n,n
b,6936259,7/5/17,120779,https://www.inaturalist.org/observations/6936259,https://static.inaturalist.org/photos/8862595/medium.jpg?1499297344,40.71089409,-79.50848687,Armstrong,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,y,y,y,n,n
b,7061648,7/15/17,120779,https://www.inaturalist.org/observations/7061648,https://static.inaturalist.org/photos/9066080/medium.jpg?1500133585,40.71206709,-79.5122984,Armstrong,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,7081881,7/16/17,48428,https://www.inaturalist.org/observations/7081881,https://static.inaturalist.org/photos/9097288/medium.jpg?1500249372,41.15868203,-79.76510773,Butler,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,7259835,7/28/17,443220,https://www.inaturalist.org/observations/7259835,https://static.inaturalist.org/photos/9381236/medium.jpg?1501328477,40.85520833,-79.41282833,Armstrong,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,y,n,n,n,n
b,7287626,7/30/17,48428,https://www.inaturalist.org/observations/7287626,https://static.inaturalist.org/photos/9425873/medium.jpg?1501464802,41.15847592,-79.764881,Butler,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,y,n
b,7469645,8/12/17,443220,https://www.inaturalist.org/observations/7469645,https://static.inaturalist.org/photos/9721964/medium.jpg?1502589469,40.83397,-79.45710833,Armstrong,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,7519872,8/16/17,583140,https://www.inaturalist.org/observations/7519872,https://static.inaturalist.org/photos/9803810/medium.jpg?1502898370,40.5304612,-79.88262305,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,7765169,8/11/17,469475,https://www.inaturalist.org/observations/7765169,https://static.inaturalist.org/photos/10199805/medium.jpeg?1504464828,40.43878174,-80.16047668,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,y,n
b,7793340,9/5/17,612527,https://www.inaturalist.org/observations/7793340,https://static.inaturalist.org/photos/10246061/medium.jpg?1504623716,40.53044867,-79.88268955,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,n,y,y,n,n
b,7793345,9/5/17,612527,https://www.inaturalist.org/observations/7793345,https://static.inaturalist.org/photos/10246075/medium.jpg?1504623757,40.53044867,-79.88268955,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,7793386,9/5/17,612409,https://www.inaturalist.org/observations/7793386,https://static.inaturalist.org/photos/10246135/medium.jpg?1504623934,40.53047238,-79.88266154,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,y,y,n,n
b,11267806,4/21/18,736793,https://www.inaturalist.org/observations/11267806,https://static.inaturalist.org/photos/16015707/medium.jpg?1524323177,40.41122933,-80.16590562,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,w,y,n,n,y,y
b,11529232,4/27/18,35327,https://www.inaturalist.org/observations/11529232,https://static.inaturalist.org/photos/16459495/medium.jpeg?1524857229,40.43624878,-79.94672394,Allegheny,Pennsylvania,United States,Achillea millefolium,common yarrow,Asteraceae,n,o,p,y,n,n,n,n
